source_dataset,country_code,year,diagnosis_code,observation_available
hospital_beds,ES,2014,,True
hospital_beds,ES,2015,,True
hospital_beds,ES,2016,,True
hospital_beds,ES,2017,,True
hospital_beds,ES,2018,,True
hospital_beds,ES,2019,,True
hospital_beds,PT,2014,,True
hospital_beds,PT,2015,,True
hospital_beds,PT,2016,,True
hospital_beds,PT,2017,,True
hospital_beds,PT,2018,,True
hospital_beds,PT,2019,,True
hospital_beds,FR,2014,,True
hospital_beds,FR,2015,,True
hospital_beds,FR,2016,,True
hospital_beds,FR,2017,,True
hospital_beds,FR,2018,,True
hospital_beds,FR,2019,,True
hospital_beds,IT,2014,,True
hospital_beds,IT,2015,,True
hospital_beds,IT,2016,,True
hospital_beds,IT,2017,,True
hospital_beds,IT,2018,,True
hospital_beds,IT,2019,,True
hospital_beds,DE,2014,,True
hospital_beds,DE,2015,,True
hospital_beds,DE,2016,,True
hospital_beds,DE,2017,,True
hospital_beds,DE,2018,,True
hospital_beds,DE,2019,,True
hospital_discharges,ES,2014,A-T_Z,False
hospital_discharges,ES,2014,C00-D48,True
hospital_discharges,ES,2014,F,True
hospital_discharges,ES,2014,I,True
hospital_discharges,ES,2014,J,True
hospital_discharges,ES,2015,A-T_Z,True
hospital_discharges,ES,2015,C00-D48,True
hospital_discharges,ES,2015,F,True
hospital_discharges,ES,2015,I,True
hospital_discharges,ES,2015,J,True
hospital_discharges,ES,2016,A-T_Z,True
hospital_discharges,ES,2016,C00-D48,True
hospital_discharges,ES,2016,F,True
hospital_discharges,ES,2016,I,True
hospital_discharges,ES,2016,J,True
hospital_discharges,ES,2017,A-T_Z,True
hospital_discharges,ES,2017,C00-D48,True
hospital_discharges,ES,2017,F,True
hospital_discharges,ES,2017,I,True
hospital_discharges,ES,2017,J,True
hospital_discharges,ES,2018,A-T_Z,True
hospital_discharges,ES,2018,C00-D48,True
hospital_discharges,ES,2018,F,True
hospital_discharges,ES,2018,I,True
hospital_discharges,ES,2018,J,True
hospital_discharges,ES,2019,A-T_Z,True
hospital_discharges,ES,2019,C00-D48,True
hospital_discharges,ES,2019,F,True
hospital_discharges,ES,2019,I,True
hospital_discharges,ES,2019,J,True
hospital_discharges,PT,2014,A-T_Z,True
hospital_discharges,PT,2014,C00-D48,True
hospital_discharges,PT,2014,F,True
hospital_discharges,PT,2014,I,True
hospital_discharges,PT,2014,J,True
hospital_discharges,PT,2015,A-T_Z,True
hospital_discharges,PT,2015,C00-D48,True
hospital_discharges,PT,2015,F,True
hospital_discharges,PT,2015,I,True
hospital_discharges,PT,2015,J,True
hospital_discharges,PT,2016,A-T_Z,False
hospital_discharges,PT,2016,C00-D48,False
hospital_discharges,PT,2016,F,False
hospital_discharges,PT,2016,I,False
hospital_discharges,PT,2016,J,False
hospital_discharges,PT,2017,A-T_Z,False
hospital_discharges,PT,2017,C00-D48,False
hospital_discharges,PT,2017,F,False
hospital_discharges,PT,2017,I,False
hospital_discharges,PT,2017,J,False
hospital_discharges,PT,2018,A-T_Z,True
hospital_discharges,PT,2018,C00-D48,True
hospital_discharges,PT,2018,F,True
hospital_discharges,PT,2018,I,True
hospital_discharges,PT,2018,J,True
hospital_discharges,PT,2019,A-T_Z,True
hospital_discharges,PT,2019,C00-D48,True
hospital_discharges,PT,2019,F,True
hospital_discharges,PT,2019,I,True
hospital_discharges,PT,2019,J,True
hospital_discharges,FR,2014,A-T_Z,True
hospital_discharges,FR,2014,C00-D48,True
hospital_discharges,FR,2014,F,True
hospital_discharges,FR,2014,I,True
hospital_discharges,FR,2014,J,True
hospital_discharges,FR,2015,A-T_Z,True
hospital_discharges,FR,2015,C00-D48,True
hospital_discharges,FR,2015,F,True
hospital_discharges,FR,2015,I,True
