country_id,year_id,diagnosis_id,value,unit_code,status_flag
1,2014,1,25602.5,P_HTHAB,
1,2015,1,25534.3,P_HTHAB,
1,2016,1,25685.6,P_HTHAB,
1,2017,1,25477.9,P_HTHAB,
1,2018,1,25246.8,P_HTHAB,
1,2019,1,25305.2,P_HTHAB,
2,2015,1,10219.3,P_HTHAB,
2,2016,1,10422.6,P_HTHAB,
2,2017,1,10435.7,P_HTHAB,
2,2018,1,10470.5,P_HTHAB,
2,2019,1,10340.1,P_HTHAB,
3,2014,1,16490.5,P_HTHAB,
3,2015,1,16344.4,P_HTHAB,
3,2016,1,18783.1,P_HTHAB,
3,2017,1,18608.9,P_HTHAB,
3,2018,1,18553.0,P_HTHAB,
3,2019,1,18298.8,P_HTHAB,
4,2014,1,12003.5,P_HTHAB,
4,2015,1,11856.2,P_HTHAB,
4,2016,1,11670.8,P_HTHAB,
4,2017,1,11597.1,P_HTHAB,
4,2018,1,9161.4,P_HTHAB,
5,2014,1,8453.0,P_HTHAB,
5,2015,1,8492.5,P_HTHAB,
5,2018,1,8308.5,P_HTHAB,
5,2019,1,8673.1,P_HTHAB,
1,2014,2,2478.3,P_HTHAB,
1,2015,2,2440.4,P_HTHAB,
1,2016,2,2447.6,P_HTHAB,
1,2017,2,2446.2,P_HTHAB,
1,2018,2,2455.3,P_HTHAB,
1,2019,2,2500.5,P_HTHAB,
2,2014,2,975.8,P_HTHAB,
2,2015,2,903.1,P_HTHAB,
2,2016,2,991.1,P_HTHAB,
2,2017,2,969.9,P_HTHAB,
2,2018,2,971.1,P_HTHAB,
2,2019,2,972.0,P_HTHAB,
3,2014,2,1122.5,P_HTHAB,
3,2015,2,1099.7,P_HTHAB,
3,2016,2,1109.6,P_HTHAB,
3,2017,2,1086.3,P_HTHAB,
3,2018,2,1077.0,P_HTHAB,
3,2019,2,1057.1,P_HTHAB,
4,2014,2,1123.0,P_HTHAB,
4,2015,2,1109.2,P_HTHAB,
4,2016,2,1111.8,P_HTHAB,
4,2017,2,1108.7,P_HTHAB,
4,2018,2,1117.3,P_HTHAB,
4,2019,2,1095.6,P_HTHAB,
5,2014,2,744.5,P_HTHAB,
5,2015,2,734.9,P_HTHAB,
5,2018,2,813.0,P_HTHAB,
5,2019,2,861.9,P_HTHAB,
1,2014,3,1735.5,P_HTHAB,
1,2015,3,1718.9,P_HTHAB,
1,2016,3,1691.7,P_HTHAB,
1,2017,3,1675.4,P_HTHAB,
1,2018,3,1653.3,P_HTHAB,
1,2019,3,1644.2,P_HTHAB,
2,2014,3,253.8,P_HTHAB,
2,2015,3,243.9,P_HTHAB,
2,2016,3,250.0,P_HTHAB,
2,2017,3,257.6,P_HTHAB,
2,2018,3,252.3,P_HTHAB,
2,2019,3,250.3,P_HTHAB,
3,2014,3,376.5,P_HTHAB,
3,2015,3,367.7,P_HTHAB,
3,2016,3,1184.0,P_HTHAB,
3,2017,3,1171.6,P_HTHAB,
3,2018,3,1186.2,P_HTHAB,
3,2019,3,1149.0,P_HTHAB,
4,2014,3,300.7,P_HTHAB,
4,2015,3,291.7,P_HTHAB,
4,2016,3,284.5,P_HTHAB,
4,2017,3,281.7,P_HTHAB,
4,2018,3,274.9,P_HTHAB,
4,2019,3,272.3,P_HTHAB,
5,2014,3,191.6,P_HTHAB,
5,2015,3,188.8,P_HTHAB,
5,2018,3,192.0,P_HTHAB,
5,2019,3,187.7,P_HTHAB,
1,2014,4,3772.5,P_HTHAB,
1,2015,4,3744.7,P_HTHAB,
1,2016,4,3765.0,P_HTHAB,
1,2017,4,3734.8,P_HTHAB,
1,2018,4,3639.8,P_HTHAB,
1,2019,4,3716.1,P_HTHAB,
2,2014,4,1307.1,P_HTHAB,
2,2015,4,1280.5,P_HTHAB,
2,2016,4,1298.3,P_HTHAB,
2,2017,4,1312.8,P_HTHAB,
2,2018,4,1307.9,P_HTHAB,
2,2019,4,1303.3,P_HTHAB,
3,2014,4,1898.3,P_HTHAB,
3,2015,4,1908.5,P_HTHAB,
3,2016,4,1951.3,P_HTHAB,
3,2017,4,1973.8,P_HTHAB,
3,2018,4,1997.0,P_HTHAB,
3,2019,4,2015.1,P_HTHAB,
4,2014,4,1904.8,P_HTHAB,
4,2015,4,1879.4,P_HTHAB,
4,2016,4,1856.6,P_HTHAB,
4,2017,4,1824.4,P_HTHAB,
4,2018,4,1788.9,P_HTHAB,
4,2019,4,1763.7,P_HTHAB,
5,2014,4,1102.2,P_HTHAB,
5,2015,4,1112.4,P_HTHAB,
5,2018,4,1092.3,P_HTHAB,
5,2019,4,1174.6,P_HTHAB,
1,2014,5,1528.2,P_HTHAB,
1,2015,5,1642.6,P_HTHAB,
1,2016,5,1602.2,P_HTHAB,
1,2017,5,1634.6,P_HTHAB,
1,2018,5,1641.2,P_HTHAB,
1,2019,5,1601.7,P_HTHAB,
2,2014,5,1142.7,P_HTHAB,
2,2015,5,919.1,P_HTHAB,
2,2016,5,1262.7,P_HTHAB,
2,2017,5,1276.5,P_HTHAB,
2,2018,5,1357.2,P_HTHAB,
2,2019,5,1273.1,P_HTHAB,
3,2014,5,1010.1,P_HTHAB,
3,2015,5,1062.8,P_HTHAB,
3,2016,5,1068.4,P_HTHAB,
3,2017,5,1065.0,P_HTHAB,
3,2018,5,1097.5,P_HTHAB,
3,2019,5,1080.0,P_HTHAB,
4,2014,5,978.1,P_HTHAB,
4,2015,5,1004.7,P_HTHAB,
4,2016,5,972.9,P_HTHAB,
4,2017,5,1003.3,P_HTHAB,
4,2018,5,1015.7,P_HTHAB,
4,2019,5,1016.4,P_HTHAB,
5,2014,5,566.0,P_HTHAB,
5,2015,5,557.6,P_HTHAB,
5,2018,5,974.4,P_HTHAB,
5,2019,5,987.0,P_HTHAB,
