country_id,year_id,diagnosis_id,value,unit_code,status_flag
1,2014,1,9.0,NR,
1,2015,1,9.0,NR,
1,2016,1,8.9,NR,
1,2017,1,8.9,NR,
1,2018,1,8.9,NR,
1,2019,1,8.8,NR,
2,2015,1,6.7,NR,
2,2016,1,7.0,NR,
2,2017,1,7.5,NR,
2,2018,1,8.3,NR,
2,2019,1,8.1,NR,
3,2014,1,5.6,NR,
3,2015,1,5.5,NR,
3,2016,1,8.8,NR,
3,2017,1,8.8,NR,
3,2018,1,8.8,NR,
3,2019,1,8.8,NR,
4,2014,1,7.8,NR,
4,2015,1,7.8,NR,
4,2016,1,7.8,NR,
4,2017,1,7.8,NR,
4,2018,1,7.9,NR,
4,2019,1,8.0,NR,
5,2014,1,7.5,NR,
5,2015,1,7.6,NR,
5,2018,1,7.9,NR,
5,2019,1,8.0,NR,
1,2014,2,9.2,NR,
1,2015,2,9.1,NR,
1,2016,2,9.0,NR,
1,2017,2,9.0,NR,
1,2018,2,8.9,NR,
1,2019,2,8.7,NR,
2,2014,2,7.9,NR,
2,2015,2,8.2,NR,
2,2016,2,8.2,NR,
2,2017,2,8.4,NR,
2,2018,2,8.3,NR,
2,2019,2,8.2,NR,
3,2014,2,7.5,NR,
3,2015,2,7.5,NR,
3,2016,2,7.3,NR,
3,2017,2,7.3,NR,
3,2018,2,7.2,NR,
3,2019,2,7.2,NR,
4,2014,2,8.7,NR,
4,2015,2,8.6,NR,
4,2016,2,8.5,NR,
4,2017,2,8.4,NR,
4,2018,2,8.3,NR,
4,2019,2,8.2,NR,
5,2014,2,10.0,NR,
5,2015,2,10.1,NR,
5,2018,2,9.4,NR,
5,2019,2,9.5,NR,
1,2014,3,24.4,NR,
1,2015,3,24.7,NR,
1,2016,3,25.1,NR,
1,2017,3,25.5,NR,
1,2018,3,26.0,NR,
1,2019,3,26.5,NR,
2,2014,3,25.7,NR,
2,2015,3,26.0,NR,
2,2016,3,26.1,NR,
2,2017,3,36.3,NR,
2,2018,3,56.4,NR,
2,2019,3,50.6,NR,
3,2014,3,5.7,NR,
3,2015,3,5.8,NR,
3,2016,3,22.7,NR,
3,2017,3,22.9,NR,
3,2018,3,23.0,NR,
3,2019,3,23.2,NR,
4,2014,3,13.9,NR,
4,2015,3,14.1,NR,
4,2016,3,14.2,NR,
4,2017,3,13.9,NR,
4,2018,3,13.6,NR,
4,2019,3,13.7,NR,
5,2014,3,16.7,NR,
5,2015,3,16.9,NR,
5,2018,3,18.0,NR,
5,2019,3,19.0,NR,
1,2014,4,9.4,NR,
1,2015,4,9.4,NR,
1,2016,4,9.3,NR,
1,2017,4,9.2,NR,
1,2018,4,9.2,NR,
1,2019,4,9.0,NR,
2,2014,4,7.6,NR,
2,2015,4,7.4,NR,
2,2016,4,8.3,NR,
2,2017,4,8.8,NR,
2,2018,4,8.9,NR,
2,2019,4,9.1,NR,
3,2014,4,7.0,NR,
3,2015,4,6.9,NR,
3,2016,4,6.7,NR,
3,2017,4,6.6,NR,
3,2018,4,6.5,NR,
3,2019,4,6.5,NR,
4,2014,4,9.3,NR,
4,2015,4,9.4,NR,
4,2016,4,9.4,NR,
4,2017,4,9.3,NR,
4,2018,4,9.4,NR,
4,2019,4,9.4,NR,
5,2014,4,8.8,NR,
5,2015,4,8.9,NR,
5,2018,4,9.8,NR,
5,2019,4,9.7,NR,
1,2014,5,7.9,NR,
1,2015,5,7.9,NR,
1,2016,5,7.7,NR,
1,2017,5,7.8,NR,
1,2018,5,7.8,NR,
1,2019,5,7.6,NR,
2,2014,5,6.7,NR,
2,2015,5,6.7,NR,
2,2016,5,7.0,NR,
2,2017,5,7.2,NR,
2,2018,5,7.2,NR,
2,2019,5,7.3,NR,
3,2014,5,6.9,NR,
3,2015,5,7.0,NR,
3,2016,5,6.7,NR,
3,2017,5,6.7,NR,
3,2018,5,6.8,NR,
3,2019,5,6.7,NR,
4,2014,5,9.1,NR,
4,2015,5,9.3,NR,
4,2016,5,9.2,NR,
4,2017,5,9.3,NR,
4,2018,5,9.4,NR,
4,2019,5,9.5,NR,
5,2014,5,8.2,NR,
5,2015,5,8.4,NR,
5,2018,5,8.9,NR,
5,2019,5,8.8,NR,
