STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),sex,Sex,age,Age class,hospcare,Hospital care,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,C00-D48,Neoplasms,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,DE,Germany,2022,,8.29,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,C00-D48,Neoplasms,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,DE,Germany,2023,,8.25,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,C00-D48,Neoplasms,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,ES,Spain,2022,,7.77,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,C00-D48,Neoplasms,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,ES,Spain,2023,,7.69,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,C00-D48,Neoplasms,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,FR,France,2022,,6.86,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,C00-D48,Neoplasms,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,FR,France,2023,,7.71,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,C00-D48,Neoplasms,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,IT,Italy,2022,,7.68,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,C00-D48,Neoplasms,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,IT,Italy,2023,,7.63,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,C00-D48,Neoplasms,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,PT,Portugal,2022,,8.69,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,C00-D48,Neoplasms,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,PT,Portugal,2023,,8.81,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,F,Mental and behavioural disorders (F00-F99),T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,DE,Germany,2022,,27.08,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,F,Mental and behavioural disorders (F00-F99),T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,DE,Germany,2023,,27.57,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,F,Mental and behavioural disorders (F00-F99),T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,ES,Spain,2022,,50.42,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,F,Mental and behavioural disorders (F00-F99),T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,ES,Spain,2023,,54.32,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,F,Mental and behavioural disorders (F00-F99),T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,FR,France,2022,,24.09,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,F,Mental and behavioural disorders (F00-F99),T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,FR,France,2023,,24.74,,,,,
