STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,indic_he,Health indicator,unit,Unit of measure,sex,Sex,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2014,,9.0,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2015,,9.0,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2016,,8.9,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2017,,8.9,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2018,,8.9,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2019,,8.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2020,,8.7,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2021,,8.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,ES,Spain,2015,,6.7,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,ES,Spain,2016,,7.0,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,ES,Spain,2017,,7.5,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,ES,Spain,2018,,8.3,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,ES,Spain,2019,,8.1,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,ES,Spain,2020,,8.7,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,ES,Spain,2021,,8.3,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2014,,5.6,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2015,,5.5,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2016,,8.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2017,,8.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2018,,8.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2019,,8.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2020,,9.1,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2021,,8.8,,,,,
