STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,facility,Health facility,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),DE,Germany,2014,,822.82,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),DE,Germany,2015,,813.31,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),DE,Germany,2016,,806.26,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),DE,Germany,2017,,800.23,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),DE,Germany,2018,,798.35,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),DE,Germany,2019,,791.48,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),ES,Spain,2014,,296.63,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),ES,Spain,2015,,297.92,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),ES,Spain,2016,,296.59,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),ES,Spain,2017,,297.43,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),ES,Spain,2018,,297.15,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),ES,Spain,2019,,294.60,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),FR,France,2014,,619.68,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),FR,France,2015,,613.46,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),FR,France,2016,,605.88,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),FR,France,2017,,598.02,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),FR,France,2018,,590.85,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),FR,France,2019,,583.79,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),IT,Italy,2014,,321.09,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),IT,Italy,2015,,319.55,,,,,
