STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,indic_he,Health indicator,unit,Unit of measure,sex,Sex,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2014,,25602.5,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2015,,25534.3,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2016,,25685.6,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2017,,25477.9,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2018,,25246.8,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2019,,25305.2,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2020,,21859.5,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,DE,Germany,2021,,21790.0,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,ES,Spain,2015,,10219.3,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,ES,Spain,2016,,10422.6,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,ES,Spain,2017,,10435.7,,,,,
